iter	Passed	Remaining
238	658	2098
239	660	2092
240	665	2095
241	667	2090
242	669	2085
243	671	2079
244	674	2078
245	676	2074
246	679	2071
247	681	2066
248	683	2060
249	685	2055
250	686	2049
251	688	2044
252	690	2039
253	694	2040
254	696	2036
255	699	2032
256	701	2029
257	703	2024
258	705	2018
259	708	2015
260	710	2010
261	712	2006
262	714	2001
263	715	1995
264	717	1990
265	719	1985
266	723	1985
267	725	1980
268	728	1980
269	730	1975
270	732	1969
271	734	1965
272	738	1966
273	740	1962
274	743	1959
275	746	1958
276	748	1953
277	751	1952
278	753	1948
279	756	1944
280	757	1939
281	759	1934
282	761	1929
283	764	1926
284	767	1925
285	769	1920
286	771	1915
287	773	1911
288	775	1906
289	776	1901
290	778	1896
291	781	1894
292	783	1889
293	785	1885
294	787	1882
295	789	1878
296	791	1874
297	794	1871
298	796	1866
299	798	1864
300	801	1860
301	803	1856
302	804	1851
303	807	1848
304	811	1848
305	813	1845
306	815	1840
307	817	1836
308	819	1832
309	822	1830
310	824	1827
311	827	1823
312	829	1819
313	830	1814
314	832	1810
315	834	1806
316	837	1804
317	840	1803
318	843	1800
319	845	1796
320	847	1793
321	851	1792
322	854	1791
323	857	1788
324	859	1784
325	861	1781
326	865	1780
327	867	1778
328	870	1774
329	872	1771
330	874	1767
331	876	1763
332	878	1759
333	883	1761
334	891	1768
335	895	1770
336	899	1770
337	902	1768
338	905	1764
339	906	1760
340	912	1763
341	915	1762
342	918	1758
343	920	1755
344	927	1760
345	929	1756
346	931	1753
347	933	1749
348	936	1746
349	939	1744
350	942	1742
351	944	1738
352	946	1735
353	949	1732
354	952	1730
355	956	1730
356	958	1727
357	960	1723
358	962	1719
359	964	1715
360	966	1710
361	971	1712
362	973	1708
363	976	1705
364	978	1702
365	981	1699
366	984	1697
367	987	1695
368	989	1691
369	991	1688
370	993	1683
371	994	1679
372	997	1677
373	1000	1674
374	1001	1669
375	1003	1665
376	1005	1662
377	1007	1658
378	1009	1654
379	1011	1650
380	1014	1648
381	1016	1644
382	1018	1641
383	1020	1637
384	1023	1634
385	1027	1634
386	1029	1631
387	1031	1627
388	1034	1624
389	1036	1620
390	1038	1617
391	1042	1616
392	1045	1614
393	1047	1611
394	1049	1607
395	1051	1603
396	1053	1599
397	1057	1598
398	1059	1595
399	1061	1592
400	1063	1588
401	1066	1586
402	1069	1584
403	1072	1582
404	1074	1578
405	1076	1575
406	1078	1571
407	1081	1569
408	1086	1569
409	1089	1568
410	1092	1565
411	1095	1562
412	1098	1561
413	1102	1560
414	1103	1556
415	1105	1551
416	1107	1547
417	1108	1543
418	1110	1540
419	1112	1536
420	1116	1534
421	1117	1531
422	1120	1528
423	1122	1524
424	1124	1520
425	1126	1518
426	1129	1515
427	1131	1512
428	1134	1509
429	1136	1506
430	1137	1502
431	1145	1506
432	1147	1502
433	1149	1499
434	1151	1495
435	1153	1491
436	1154	1487
437	1157	1485
438	1159	1481
439	1161	1478
440	1163	1474
441	1164	1470
442	1166	1466
443	1170	1465
444	1172	1462
